Calc. MW,Average Distance
284.19906,2.7394829208827485
397.98864,2.794926353455903
426.15954,2.8559238279397343
233.98231,2.903955501066068
230.18788,2.918803741487585
296.23525,2.9573229938323653
443.17638,3.075549652174381
528.18145,3.293782651672448
466.06288,3.3408563640108007
233.98225,3.4042909710194547
479.99205,3.4087702156038855
286.21481,3.4796393236664938
300.01327,3.6428011568693655
351.05926,3.6693388439853183
242.18803,3.7218513074347315
202.04451,3.760623751828556
421.28068,3.7955581397015625
432.19071,3.8085621146938125
224.17717,3.831221598787429
443.17629,3.850140438114178
341.29293,3.860700334187085
507.99719,3.8697101998539503
497.31198,3.8732622579667417
306.03055,3.92981082969993
434.19885,3.95493290426138
465.1881,3.9652713432537423
406.14352,3.9671347048369476
244.13099,3.999102007461544
348.22988,4.017501048247741
288.209,4.052445075295543
362.20128,4.101418770975976
424.28272,4.145696489258242
534.01258,4.163347790445394
458.11825,4.240016888772312
284.03567,4.243007195450939
325.26171,4.253955977646527
371.20985,4.2543935916038205
350.24552,4.287212097480725
423.3351,4.2890271521178915
309.23054,4.295277850304037
348.26636,4.309732838327403
451.14398,4.311236358786603
309.23057,4.335356067879409
357.23042,4.343385625847967
298.05433,4.355076469780947
266.18825,4.4279437468203575
475.18862,4.4785911802171485
250.98528,4.4789444289395055
330.18363,4.486229342864823
418.16273,4.516903440254132
453.1468,4.5201182620562586
460.13306,4.523609032872173
473.19098,4.527326647696325
328.24089,4.535414217376497
447.29615,4.545793728602014
242.76498,4.547353695925981
254.14929,4.56403405729195
434.11737,4.566678704915163
289.0029,4.579733058389548
388.1522,4.616304750990907
339.27731,4.644199402949628
396.29857,4.691492036685018
310.21451,4.722120883630677
373.23852,4.7492718310684126
442.12694,4.774008078026291
422.14092,4.786954029553253
426.1778,4.84591554688637
350.2225,4.8519561595130964
379.27233,4.867114254075552
294.15042,4.89062650491916
431.39749,4.894795538426023
425.21016,4.898056463674179
378.17702,4.9091077041356925
304.24024,4.9220569998285635
355.27223,4.925672041159014
354.14994,4.930320656478493
348.14943,4.931294489308924
346.25125,4.975057125418054
322.11036,4.9793395040147255
396.29855,5.0173314598869645
318.14695,5.0428090626125455
425.21046,5.059821065342545
542.0531,5.067559928998721
374.17864,5.067728544330852
202.1198,5.073476282710206
395.33977,5.086280142900583
399.25458,5.094280522247947
332.21187,5.094922340240706
365.29318,5.123345744028168
393.24931,5.129782616408003
478.10448,5.135413011204881
294.18649,5.138250818496628
326.28213,5.166709730576878
428.19316,5.177012146372307
222.16144,5.177991325439069
284.19885,5.180171607392963
258.18316,5.206315163469272
250.98538,5.216608970645685
375.25396,5.218732656632056
361.26152,5.2253422742825135
423.37124,5.23954989854581
538.00764,5.260955233476833
438.13524,5.293851202626967
451.14408,5.29573765342248
419.20397,5.323946473560481
399.96613,5.35214137910823
288.17245,5.360611389017524
357.28802,5.38652672585298
449.14651,5.3915023093567
411.23088,5.392210486972626
403.28536,5.408045435041061
406.27193,5.408118052264752
461.38694,5.409628566556305
334.28735,5.412792148316987
298.15707,5.4148417157186275
421.2383,5.420667714260347
433.21551,5.4288763897418635
454.08617,5.429126698181589
314.24601,5.446827125956484
348.26666,5.453129648050117
434.15524,5.45455837603058
462.17806,5.455729914427698
396.12508,5.456469005111748
386.24319,5.457921214567919
339.27735,5.470816873956402
420.14366,5.489127162700562
552.18195,5.49115641765243
434.33952,5.496228684595781
385.26174,5.519957331698191
409.21504,5.521835602945466
362.24588,5.522595928486009
532.01457,5.528957292045754
360.23041,5.545608348953904
380.21196,5.546480093968371
390.17273,5.551770211208403
276.06107,5.576871113355885
458.1644,5.584579930401346
404.25648,5.599699523836136
428.36138,5.672372114057736
455.16295,5.68343196635909
312.23026,5.691512819487804
398.33933,5.694312983038812
507.12118,5.707081927624429
342.17287,5.709005608995834
